Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
21037,90085,Male,Loyal Customer,60,Business travel,Business,3959,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0.0
19178,51476,Female,disloyal Customer,47,Business travel,Business,451,4,3,3,4,2,4,2,2,4,4,4,5,5,2,20,8.0
7072,21434,Female,disloyal Customer,24,Business travel,Eco,433,5,0,5,1,5,5,2,5,1,5,3,5,4,5,81,71.0
22608,57075,Male,Loyal Customer,34,Personal Travel,Eco,2065,4,1,4,2,4,4,4,4,4,1,2,1,3,4,0,0.0
10608,51713,Female,Loyal Customer,33,Business travel,Eco,237,3,3,3,3,5,5,5,5,5,4,1,5,4,5,0,0.0
19807,4687,Male,Loyal Customer,17,Personal Travel,Eco,364,0,5,0,4,5,0,5,5,5,3,5,5,4,5,0,0.0
13114,69890,Female,Loyal Customer,41,Business travel,Business,1514,3,3,3,3,2,4,5,5,5,5,5,4,5,5,0,0.0
16225,33007,Male,Loyal Customer,46,Personal Travel,Eco,101,2,5,0,5,3,0,3,3,3,5,5,3,5,3,0,0.0
196,75522,Female,disloyal Customer,20,Business travel,Eco,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0
9668,32659,Male,Loyal Customer,38,Business travel,Business,101,3,5,5,5,2,3,3,2,2,2,3,3,2,1,6,12.0
14183,51546,Male,Loyal Customer,26,Business travel,Business,370,1,1,1,1,4,4,4,4,5,2,4,4,1,4,0,0.0
21522,2126,Male,Loyal Customer,50,Business travel,Business,431,3,3,3,3,5,5,4,3,3,4,3,4,3,4,0,0.0
24310,58097,Female,Loyal Customer,18,Business travel,Business,589,2,1,1,1,2,3,2,2,3,4,4,4,3,2,78,101.0
19532,41629,Female,Loyal Customer,22,Business travel,Business,3225,3,2,2,2,3,3,3,3,4,4,3,3,3,3,0,0.0
8882,9088,Female,Loyal Customer,30,Personal Travel,Eco,160,3,3,3,4,5,3,1,5,2,5,4,1,4,5,34,22.0
16515,97950,Female,disloyal Customer,22,Business travel,Eco,616,5,0,5,2,4,5,4,4,5,2,4,4,5,4,0,5.0
13415,95088,Female,Loyal Customer,20,Personal Travel,Eco,239,4,4,4,3,3,4,3,3,1,1,3,2,4,3,0,0.0
4520,101331,Female,disloyal Customer,31,Business travel,Business,1771,3,3,3,3,3,3,3,3,4,4,5,4,4,3,15,0.0
5589,72751,Male,Loyal Customer,47,Business travel,Business,1850,3,3,3,3,4,4,5,2,2,2,2,3,2,4,0,1.0
2752,66799,Male,Loyal Customer,43,Business travel,Business,1803,1,1,1,1,3,5,4,1,1,2,1,5,1,5,5,0.0
14513,109730,Male,Loyal Customer,74,Business travel,Business,468,1,3,3,3,4,3,3,1,1,1,1,4,1,3,45,33.0
733,107035,Female,Loyal Customer,40,Business travel,Business,480,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0
4375,4876,Male,Loyal Customer,52,Personal Travel,Eco,408,4,5,2,1,3,2,3,3,3,1,2,4,5,3,0,0.0
10430,92489,Male,Loyal Customer,28,Business travel,Business,2139,2,1,3,1,2,2,2,2,1,3,3,4,4,2,11,28.0
22425,69547,Female,Loyal Customer,33,Business travel,Business,2475,4,4,4,4,2,2,2,4,2,4,5,2,3,2,0,0.0
6400,48638,Male,Loyal Customer,60,Business travel,Business,3128,5,5,5,5,4,5,5,5,5,5,5,4,5,4,19,30.0
24583,61619,Male,Loyal Customer,40,Business travel,Business,1346,5,1,5,5,5,4,4,4,4,4,4,4,4,5,0,13.0
18985,96970,Female,Loyal Customer,46,Business travel,Business,883,5,2,2,2,1,3,4,5,5,4,5,3,5,2,0,0.0
14878,24872,Female,Loyal Customer,42,Business travel,Business,356,3,3,3,3,3,4,3,3,3,4,3,3,3,3,2,10.0
21848,50779,Female,Loyal Customer,21,Personal Travel,Eco,109,1,2,1,2,5,1,4,5,1,1,3,1,3,5,35,55.0
22409,116697,Female,Loyal Customer,22,Business travel,Eco Plus,337,2,1,1,1,2,2,1,2,2,5,4,2,3,2,0,0.0
23282,77858,Male,Loyal Customer,34,Personal Travel,Eco Plus,689,2,5,2,1,5,2,5,5,2,5,2,4,2,5,6,0.0
16189,111098,Female,disloyal Customer,39,Business travel,Business,240,5,5,5,3,2,5,2,2,3,4,5,3,4,2,16,9.0
4788,107435,Female,Loyal Customer,69,Personal Travel,Eco,717,2,4,2,5,3,4,5,4,4,2,4,4,4,3,0,0.0
18326,67052,Female,Loyal Customer,30,Business travel,Business,3468,3,5,5,5,3,2,3,3,1,1,3,3,4,3,4,9.0
11940,124437,Female,disloyal Customer,23,Business travel,Eco,1262,3,3,3,3,2,3,2,2,5,2,4,4,5,2,0,0.0
3931,6797,Male,Loyal Customer,36,Business travel,Business,223,1,3,1,1,2,4,5,5,5,5,5,5,5,5,0,0.0
25401,9487,Female,disloyal Customer,25,Business travel,Business,239,5,0,5,5,5,5,5,5,4,5,5,4,5,5,18,15.0
2907,109474,Female,Loyal Customer,27,Business travel,Eco,861,3,3,3,3,3,3,3,2,1,3,4,3,1,3,190,204.0
19074,73042,Male,Loyal Customer,24,Personal Travel,Eco,944,3,2,3,2,3,3,5,3,4,1,2,1,2,3,7,0.0
20679,119568,Male,Loyal Customer,15,Business travel,Business,857,1,1,1,1,5,5,5,5,5,4,5,5,4,5,0,9.0
21187,23302,Male,Loyal Customer,52,Business travel,Business,2053,4,4,4,4,2,1,5,4,4,4,4,4,4,2,28,20.0
6440,3019,Female,Loyal Customer,56,Business travel,Business,3639,3,4,4,4,4,3,4,3,3,3,3,4,3,2,0,0.0
5584,32849,Male,Loyal Customer,59,Personal Travel,Eco,216,3,1,3,2,1,3,1,1,2,2,1,4,2,1,0,0.0
15437,5239,Female,Loyal Customer,39,Business travel,Business,295,3,3,3,3,5,4,4,5,5,5,5,3,5,4,0,10.0
14840,79343,Male,disloyal Customer,27,Business travel,Eco,1020,2,2,2,2,3,2,3,3,4,3,4,4,5,3,0,0.0
24189,46298,Female,Loyal Customer,47,Business travel,Eco,237,5,3,3,3,4,4,2,5,5,5,5,5,5,2,3,1.0
23238,129847,Female,Loyal Customer,16,Personal Travel,Eco,337,0,4,0,5,3,0,3,3,5,2,4,4,5,3,0,0.0
11628,104104,Male,Loyal Customer,42,Business travel,Business,1731,1,1,1,1,3,4,1,4,4,4,4,5,4,3,0,1.0
